for,while,if,then,else,switch,case,do,Buggy
2,0,3,0,0,0,0,0,0
0,0,1,0,1,0,0,0,1
0,0,0,0,0,0,0,0,1
0,0,1,0,0,1,4,0,0
1,0,8,0,2,0,0,0,0
8,0,47,2,3,0,1,0,0
0,0,0,0,0,1,1,0,0
1,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
12,6,73,1,24,2,1,2,1
0,2,5,0,3,0,0,0,1
1,0,4,0,0,0,0,0,0
2,0,29,2,11,0,0,0,1
0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
4,0,6,0,1,0,0,2,0
0,0,0,0,0,0,0,0,0
14,0,16,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,1
2,0,0,0,0,0,0,0,1
0,0,7,0,0,0,2,0,0
0,0,2,0,0,0,0,0,0
0,0,3,0,1,0,0,0,0
1,0,7,0,1,0,0,0,0
0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1
0,0,1,0,1,0,1,0,0
0,0,3,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
1,2,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,5,0,0,0,0,0,0
0,0,2,0,1,0,0,0,1
18,0,64,0,7,2,2,1,1
3,0,4,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,21,2,3,0,0,0,1
0,0,15,0,7,0,0,0,0
39,0,77,2,9,1,1,1,1
1,0,7,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,9,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
3,0,15,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,9,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0
